_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee25a4e2980ece6a0f9d),,5,2100,"[""honey"",""balsamic vinegar"",""fresh parsley leaves"",""vegetables"",""brussels sprouts"",""shallots"",""ground black pepper"",""kosher salt""]",Serious Eats,"Fried Brussels Sprouts with Shallots, Honey, and Balsamic Vinegar","{""course"":[""Side Dishes""]}",Fried-brussels-sprouts-with-shallots_-honey_-and-balsamic-vinegar-304852
ObjectId(58e5ee25a4e2980ece6a136d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2700,"[""fish"",""eggs"",""mushrooms"",""onions"",""salt""]",Cooking Come,Fried Fish With Mushrooms,"{""course"":[""Appetizers"",""Main Dishes""]}",Fried-Fish-With-Mushrooms-2041022
ObjectId(58e5ee25a4e2980ece6a1476),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1140,"[""green tomatoes"",""eggs"",""milk"",""flour"",""cornmeal"",""bread crumbs"",""kosher salt"",""ground black pepper"",""oil"",""blue cheese dressing"",""dill""]",Fox Valley Foodie,Fried Green Tomatoes with Blue Cheese Dill Dipping Sauce,{},Fried-Green-Tomatoes-with-Blue-Cheese-Dill-Dipping-Sauce-1256390
ObjectId(58e5ee25a4e2980ece6a148b),"{""piquant"":0.3333333333333333,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,2400,"[""chicken breasts"",""cooking oil"",""flour"",""unseasoned breadcrumbs"",""salt"",""garlic powder"",""seasoning salt"",""cayenne pepper"",""onion powder"",""large eggs"",""milk""]",My Momma Taught Me,Fried Panko Crusted Chicken,"{""course"":[""Main Dishes""]}",Fried-Panko-Crusted-Chicken-1473890
ObjectId(58e5ee25a4e2980ece6a161b),,4,1200,"[""extra-virgin olive oil"",""eggs"",""salt"",""pepper"",""dark leafy greens"",""lemon"",""avocado"",""shaved parmesan cheese""]",Mom's Kitchen Handbook,Fried Egg and Veggie Breakfast Bowl,"{""course"":[""Breakfast and Brunch""]}",Fried-Egg-and-Veggie-Breakfast-Bowl-1575543
ObjectId(58e5ee25a4e2980ece6a1636),"{""piquant"":0.6666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,6600,"[""venison"",""milk"",""hot pepper sauce"",""eggs"",""all-purpose flour"",""salt"",""ground black pepper"",""vegetable oil""]",AllRecipes,Fried Venison Backstrap,"{""course"":[""Main Dishes""]}",Fried-Venison-Backstrap-Allrecipes
ObjectId(58e5ee25a4e2980ece6a1698),"{""sweet"":0.6666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2100,"[""orange flower water"",""butter"",""egg yolks"",""sugar"",""semolina"",""milk"",""eggs""]",GoodFood,Fried Semolina Dumplings With Cinnamon And Orange Blossom,"{""course"":[""Desserts""]}",Fried-Semolina-Dumplings-With-Cinnamon-And-Orange-Blossom-1357947
ObjectId(58e5ee25a4e2980ece6a1889),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2700,"[""fish"",""eggs"",""mushrooms"",""onions"",""salt""]",Cooking Come,Fried Fish With Mushrooms,"{""course"":[""Appetizers"",""Main Dishes""]}",Fried-Fish-With-Mushrooms-2041022
ObjectId(58e5ee26a4e2980ece6a1e85),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.3333333333333333,""piquant"":0.8333333333333334,""bitter"":0.3333333333333333,""meaty"":0.5}",3,1500,"[""noodles"",""pork"",""cabbage"",""worcestershire sauce"",""salt"",""pepper"",""salad oil""]",J-Simple Recipes,Fried Noodles,{},Fried-Noodles-634173
ObjectId(58e5ee26a4e2980ece6a2322),,4,3000,"[""milkfish"",""eggs"",""fried rice"",""papaya"",""cooking oil"",""scallions""]",Panlasang Pinoy,"Fried Daing na Bangus with Garlic Fried Rice, Fried Egg, and Pickled Papaya (Daing Silog)","{""course"":[""Lunch"",""Main Dishes""]}",Fried-Daing-na-Bangus-with-Garlic-Fried-Rice_-Fried-Egg_-and-Pickled-Papaya-_Daing-Silog_-1681828
