_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee1ca4e2980ece668fb1),"{""piquant"":0.16666666666666666,""sour"":0.5,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",5,2700,"[""yukon gold potatoes"",""salt"",""milk"",""unsalted butter"",""freshly ground pepper""]",Leite's Culinaria,Mashed Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-513614
ObjectId(58e5ee1ca4e2980ece669221),,3,3600,"[""yukon gold potatoes"",""kosher salt"",""unsalted butter"",""heavy cream""]",Food & Wine,"Mashed Potatoes, Kind Of Robuchon-Style","{""course"":[""Side Dishes""]}",Mashed-Potatoes_-Kind-Of-Robuchon-Style-1897953
ObjectId(58e5ee1ca4e2980ece66947a),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,1500,"[""potatoes"",""sweet potatoes"",""Philadelphia Cream Cheese"",""sour cream"",""black pepper"",""grated parmesan cheese"",""shredded cheddar cheese""]",Every Day with Rachael Ray,Mashed Potato Layer Bake,"{""course"":[""Side Dishes""]}",Mashed-potato-layer-bake-346239
ObjectId(58e5ee1ca4e2980ece669573),,4,1020,"[""mashed potatoes"",""flour"",""eggs"",""oil"",""cooked meat"",""cheese"",""spices""]",Tasty Ever After,Mashed Potato Pancakes,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Mashed-Potato-Pancakes-2038956
ObjectId(58e5ee1ca4e2980ece6697c2),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,1500,"[""potatoes"",""sweet potatoes"",""Philadelphia Cream Cheese"",""sour cream"",""black pepper"",""grated parmesan cheese"",""shredded cheddar cheese""]",Every Day with Rachael Ray,Mashed Potato Layer Bake,"{""course"":[""Side Dishes""]}",Mashed-potato-layer-bake-346239
ObjectId(58e5ee1ca4e2980ece669f3b),,4,4500,"[""sweet potatoes"",""unsalted butter"",""pure maple syrup"",""milk"",""salt"",""freshly ground black pepper"",""thyme""]",Once Upon A Chef,Mashed Sweet Potatoes with Maple & Thyme,"{""course"":[""Side Dishes""],""holiday"":[""Thanksgiving"",""Christmas"",""Fall""]}",Mashed-Sweet-Potatoes-with-Maple-_-Thyme-1541579
ObjectId(58e5ee1ca4e2980ece66a26a),,4,4500,"[""sweet potatoes"",""unsalted butter"",""pure maple syrup"",""milk"",""salt"",""freshly ground black pepper"",""thyme""]",Once Upon A Chef,Mashed Sweet Potatoes with Maple & Thyme,"{""course"":[""Side Dishes""],""holiday"":[""Thanksgiving"",""Christmas"",""Fall""]}",Mashed-Sweet-Potatoes-with-Maple-_-Thyme-1541579
ObjectId(58e5ee1ca4e2980ece66a40f),,3,480,"[""mashed cauliflower"",""eggs"",""panko"",""extra-virgin olive oil""]",Slim Sanity,Mashed Cauliflower Pancakes,"{""course"":[""Breakfast and Brunch""]}",Mashed-Cauliflower-Pancakes-1045570
ObjectId(58e5ee1ca4e2980ece66a6cb),,5,2400,"[""cauliflower"",""salt"",""butter"",""fresh dill"",""lemon juice"",""half \u0026 half"",""grating cheese"",""feta cheese"",""anise"",""ground black pepper""]",Kalyn's Kitchen,Mashed Cauliflower with Cheese and Dill,"{""course"":[""Side Dishes""]}",Mashed-cauliflower-with-cheese-and-dill-309694
ObjectId(58e5ee1ca4e2980ece66a870),,4,1200,"[""sweet potatoes"",""ghee"",""cream"",""maple syrup"",""ground cinnamon"",""salt"",""freshly ground pepper""]",24 Carrot Kitchen,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1351807
ObjectId(58e5ee1ca4e2980ece66b0fa),,4,1200,"[""sweet potatoes"",""ghee"",""cream"",""maple syrup"",""ground cinnamon"",""salt"",""freshly ground pepper""]",24 Carrot Kitchen,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1351807
ObjectId(58e5ee1ca4e2980ece66baf3),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""sweet potatoes"",""brown sugar"",""cinnamon"",""unsalted butter""]",A Sweet Pea Chef,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1780858
ObjectId(58e5ee1ca4e2980ece66bc46),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""sweet potatoes"",""garlic cloves"",""low sodium chicken broth"",""chopped fresh thyme"",""dried thyme"",""unsalted butter"",""kosher salt"",""freshly ground pepper"",""balsamic vinegar""]",Ready to Yumble,"Mashed Sweet Potatoes with Garlic, Thyme, and Balsamic","{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-with-Garlic_-Thyme_-and-Balsamic-1576779
ObjectId(58e5ee1ca4e2980ece66bc4e),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3000,"[""boiling potatoes"",""chicken broth"",""kosher salt"",""milk"",""unsalted butter"",""sour cream"",""ground black pepper"",""chives""]",Platings and Pairings,Mashed Potatoes with Sour Cream,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Sour-Cream-944197
ObjectId(58e5ee1ca4e2980ece66c0a1),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2100,"[""yams"",""plain greek yogurt"",""brown sugar"",""pumpkin pie spice"",""salt"",""pepper""]",Self Proclaimed Foodie,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1318550
ObjectId(58e5ee1ca4e2980ece66c837),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""sweet potatoes"",""garlic cloves"",""low sodium chicken broth"",""chopped fresh thyme"",""dried thyme"",""unsalted butter"",""kosher salt"",""freshly ground pepper"",""balsamic vinegar""]",Ready to Yumble,"Mashed Sweet Potatoes with Garlic, Thyme, and Balsamic","{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-with-Garlic_-Thyme_-and-Balsamic-1576779
ObjectId(58e5ee1ca4e2980ece66cb4a),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""mashed potatoes"",""eggs"",""parsley"",""bread crumbs"",""chopped onion"",""flour""]",An Italian in my Kitchen,Mashed Potato Croquettes,"{""course"":[""Side Dishes""]}",Mashed-Potato-Croquettes-1066068
