_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee20a4e2980ece67f237),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,4500,"[""buttermilk"",""lemon juice"",""lemon"",""all-purpose flour"",""salt"",""baking powder"",""baking soda"",""unsalted butter"",""sugar"",""large eggs"",""blueberries"",""flour"",""powdered sugar""]",Flavor Mosaic,Glazed Lemon Blueberry Pound Cake,"{""course"":[""Desserts"",""Afternoon Tea""]}",Glazed-Lemon-Blueberry-Pound-Cake-1569045
ObjectId(58e5ee20a4e2980ece67f622),"{""sweet"":0.8333333333333334,""sour"":0.3333333333333333,""salty"":0.16666666666666666,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2700,"[""unsalted butter"",""all-purpose flour"",""granulated sugar"",""grated lemon zest"",""large eggs"",""extra-virgin olive oil"",""whole milk"",""baking powder"",""fine salt"",""fresh thyme"",""powdered sugar"",""lemon juice""]",Seasons and Suppers,Glazed Lemon and Thyme Olive Oil Cakes,"{""course"":[""Afternoon Tea"",""Desserts""]}",Glazed-Lemon-and-Thyme-Olive-Oil-Cakes-982580
ObjectId(58e5ee20a4e2980ece67fa3e),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.5,""meaty"":0.16666666666666666}",3,3600,"[""water"",""butter"",""brown sugar"",""salt"",""all-purpose flour"",""anise seed"",""eggs"",""almond extract"",""anise extract"",""vegetable oil"",""glaze""]",Thoughtful Woman,Glazed Churros,"{""course"":[""Desserts""]}",Glazed-Churros-754033
ObjectId(58e5ee20a4e2980ece680168),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.5,""bitter"":0.5,""meaty"":0.6666666666666666}",3,2100,"[""hoisin sauce"",""brown sugar"",""soy sauce"",""flour"",""chicken drumsticks""]",Every Day with Rachael Ray,Glazed Drumsticks,"{""course"":[""Main Dishes""]}",Glazed-Drumsticks-590686
ObjectId(58e5ee20a4e2980ece680285),,4,1980,"[""ground turkey"",""tart apples"",""salt"",""garlic powder"",""vegetable oil"",""apple jelly"",""spicy brown mustard""]",Kevin Is Cooking,Glazed Turkey Meatballs,"{""course"":[""Main Dishes""],""cuisine"":[""Kid-Friendly""]}",Glazed-Turkey-Meatballs-683960
ObjectId(58e5ee20a4e2980ece680ac1),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.8333333333333334,""meaty"":0.5}",4,780,"[""glazed donuts"",""eggs"",""milk"",""salt"",""vanilla extract""]",A Southern Mother,Glazed Donut French Toast,"{""course"":[""Breakfast and Brunch""]}",Glazed-Donut-French-Toast-1831373
ObjectId(58e5ee20a4e2980ece680f54),,4,1800,"[""boneless pork chops"",""brown sugar"",""chili powder"",""garlic powder"",""paprika"",""salt"",""pepper""]",Domesticated Wild Child,Glazed Pork Chops,"{""course"":[""Main Dishes""]}",Glazed-Pork-Chops-1303950
ObjectId(58e5ee20a4e2980ece680fcc),,4,14700,"[""dried apricot"",""fresh orange juice"",""cinnamon sticks""]",Kevin Is Cooking,Glazed Apricots,{},Glazed-Apricots-684842
ObjectId(58e5ee20a4e2980ece68101b),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",5,11700,"[""corned beef"",""water"",""apricot preserves"",""brown sugar"",""soy sauce""]",AllRecipes,Glazed Corned Beef,"{""course"":[""Main Dishes""]}",Glazed-Corned-Beef-Allrecipes_1
ObjectId(58e5ee20a4e2980ece68195c),,3,2700,"[""all-purpose flour"",""sugar"",""Fleischmann's RapidRise Yeast"",""salt"",""Spice Islands Ground Nutmeg"",""water"",""milk"",""butter"",""eggs"",""Mazola Corn Oil"",""powdered sugar"",""Spice Islands® Pure Vanilla Extract""]",Bread World,Glazed Doughnuts,"{""course"":[""Breads""]}",Glazed-Doughnuts-1282398
